formula_id,formula_label,formula,category,status,nodes,time_ms
72,F72,((forall x. (F(x) -> (G(x) or not H(x)))) and (forall x. ((G(x) and not I(x)) -> (F(x) and H(x)))) and (forall x. I(x))) -> forall x. (F(x) -> G(x)),Complex,UNKNOWN,18,0.99
73,F73,((forall x. (G(x) -> F(x))) and not (exists x. (F(x) and H(x)))) -> not (exists x. (G(x) and H(x))),Hard,VALID,13,0.49
74,F74,((not (exists x. (F(x) and (G(x) or H(x))))) and (exists x. (I(x) and F(x))) and (forall x. (not H(x) -> J(x)))) -> exists x. (I(x) and J(x)),Complex,VALID,18,0.76
75,F75,"(exists x. forall y. R(x,y)) -> forall x. forall y. R(x,y)",Complex,UNKNOWN,8,0.22
76,F76,((forall x. (F(x) -> G(x))) and (forall x. (F(x) -> H(x)))) -> forall x. (F(x) -> (G(x) and H(x))),Hard,VALID,16,0.47
77,F77,((forall x. (F(x) -> (G(x) or H(x)))) and (forall x. (G(x) -> I(x))) and (forall x. (H(x) -> J(x)))) -> forall x. (F(x) -> (I(x) or J(x))),Complex,VALID,18,0.78
78,F78,((exists x. F(x)) and (exists x. G(x))) -> exists x. (F(x) and G(x)),Hard,UNKNOWN,10,0.23
79,F79,"(forall x. forall y. (G(x,y) -> not G(y,x))) -> forall x. not G(x,x)",Hard,VALID,9,0.24
80,F80,"((forall x. forall y. ((F(x) and G(y)) -> H(x,y))) and (exists x. F(x)) and (exists x. G(x))) -> exists x. exists y. H(x,y)",Complex,VALID,21,1.95
81,F81,"((forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. R(x,x))) -> forall x. forall y. (R(x,y) -> R(y,x))",Complex,UNKNOWN,35,9.93
82,F82,((exists x. (F(x) and not G(x))) and (forall x. (F(x) -> H(x))) and (forall x. ((J(x) and I(x)) -> F(x))) and ((exists x. (H(x) and not G(x))) -> forall x. (I(x) -> not H(x)))) -> forall x. (J(x) -> not I(x)),Complex,VALID,37,1.95
83,F83,((forall x. (F(x) -> G(x))) and (forall x. (G(x) -> H(x))) and not (exists x. H(x))) -> not (exists x. F(x)),Complex,VALID,14,0.4
